ファンド名,積立額,比率,アセットクラス,地域,騰落率(3年),シャープレシオ(1年),標準偏差（σ-シグマ）（1年）,信託報酬,リスクメジャー(3年),ファンドレーティング(総合)
ＳＢＩ・Ｖ・先進国株式（除く米国）インデックス・ファンド,"¥10,000",28.57%,株式,世界,29.31,3.76,8.14,0.0938,,
ｅＭＡＸＩＳ ＮＡＳＤＡＱ１００インデックス,"¥10,000",28.57%,株式,米国,147.96,1.24,21.29,0.2035,5,5
ｉＦｒｅｅＮＥＸＴ ＦＡＮＧ＋インデックス,"¥5,000",14.29%,株式,米国,278.9,1.45,26.02,0.7755,5,4
ｅＭＡＸＩＳ Ｓｌｉｍ 国内リートインデックス,"¥5,000",14.29%,REIT,日本,15.5,4.62,5.9,0.187,3,4
ＳＢＩ・ｉシェアーズ・ゴールドファンド（為替ヘッジあり）,"¥3,000",8.57%,コモディティ,世界,49.07,3.51,13.85,0.1838,,
ステート・ストリート・グローバル債券インデックス・オープン（隔月分配型）,"¥2,000",5.71%,債券,世界,8.33,1.5,7,0.0638,,
,"¥35,000",,,,97.39,2.68,14.56,,,
