ファンド名,積立額,比率,アセットクラス,地域,騰落率(3年),シャープレシオ(1年),標準偏差（σ-シグマ）（1年）,信託報酬,リスクメジャー(3年),ファンドレーティング(総合)
ｉＦｒｅｅＮＥＸＴ ＦＡＮＧ＋インデックス,"¥10,000",14.29%,株式,米国,278.90,1.45,26.02,0.7755,5,4
米国大型テクノロジー株式ファンド,"¥20,000",28.57%,株式,米国,19.88,1.15,30.25,0.5940,,
ｅＭＡＸＩＳ ＮＡＳＤＡＱ１００インデックス,"¥10,000",14.29%,株式,米国,147.96,1.24,21.29,0.2035,5,5
ｉＦｒｅｅＮＥＸＴ インド株インデックス,"¥8,000",11.43%,株式,新興国,4.22,0.47,16.41,0.4730,,
ＳＢＩ・Ｖ・先進国株式（除く米国）インデックス・ファンド,"¥5,000",7.14%,株式,世界,29.31,3.76,8.14,0.0938,,
ｅＭＡＸＩＳ Ｓｌｉｍ 国内リートインデックス,"¥5,000",7.14%,REIT,日本,15.50,4.62,5.90,0.1870,3,4
ＳＢＩ・ｉシェアーズ・ゴールドファンド（為替ヘッジあり）,"¥10,000",14.29%,コモディティ,世界,49.07,3.51,13.85,0.1838,,
ステート・ストリート・グローバル債券インデックス・オープン（隔月分配型）,"¥2,000",2.86%,債券,世界,8.33,1.50,7.00,0.0638,,
,"¥70,000",,,,77.59,1.91,20.46,0.4118,,
